"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0050808","synapse organization",0.0842696629213483,0.0171444436732144,9.60031577118534e-13,3.45611367762672e-09,2.73659527456525e-09,"Septin7/Cacnb4/Fyn/Myh10/Nefl/Arc/Cbln2/Epha7/Ptprd/Cabp1/Rph3a/Gripap1/Snap91/Rims4/Fbxo45/Lrrk2/Magi2/Ckap5/Cux2/Dact1/Lingo2/C1ql1/Flrt2/Flrt3/Dtnbp1/Erbb4/Ctnna2/Lrrtm2/Tuba1a/Syndig1",30,"red"
"GO:0034765","regulation of ion transmembrane transport",0.0617977528089888,0.0172832650794753,3.22953390592408e-07,8.16449688090116e-05,6.46475367060829e-05,"Phb2/Cav1/Cacnb4/Calm3/Fyn/Hecw1/Glrx/Pde4d/Slmap/Fgf12/Arc/Stk39/Kcnq5/Hpca/Kcnip4/Cabp1/Rph3a/Hcn4/Kcna1/Scn3b/Plcb1/Kcnd2",22,"red"
"GO:0007409","axonogenesis",0.0589887640449438,0.0171097383216492,1.07686768328531e-06,0.000204038087359321,0.000161559982622527,"Septin7/Stk11/Pitpna/Zfyve27/Myh10/Nefm/Nefl/Matn2/Klf7/Sema6d/Dclk1/Epha7/Plxna4/Snap91/Tbr1/Fbxo45/Flrt2/Flrt3/Kif13b/Ctnna2/Cntn4",21,"red"
"GO:0050807","regulation of synapse organization",0.0561797752808989,0.00912750746165059,1.30220853009338e-10,2.34397535416809e-07,1.85598984183836e-07,"Fyn/Myh10/Arc/Cbln2/Epha7/Ptprd/Gripap1/Snap91/Rims4/Lrrk2/Magi2/Cux2/Lingo2/Flrt2/Flrt3/Dtnbp1/Ctnna2/Lrrtm2/Tuba1a/Syndig1",20,"red"
"GO:0050803","regulation of synapse structure or activity",0.0561797752808989,0.00940515027417228,2.21730163927216e-10,2.66076196712659e-07,2.10682555759615e-07,"Fyn/Myh10/Arc/Cbln2/Epha7/Ptprd/Gripap1/Snap91/Rims4/Lrrk2/Magi2/Cux2/Lingo2/Flrt2/Flrt3/Dtnbp1/Ctnna2/Lrrtm2/Tuba1a/Syndig1",20,"red"
"GO:0034329","cell junction assembly",0.0561797752808989,0.0153050600402582,7.4411300485905e-07,0.000157576871617211,0.000124771394251288,"Acvrl1/Cav1/Cdh10/Cbln2/Ptprj/Epha7/Ptprd/Tln1/Cd9/Fbxo45/Magi2/Cdh12/Cux2/Lingo2/Flrt2/Flrt3/Bcas3/Erbb4/Lrrtm2/Syndig1",20,"red"
"GO:0031331","positive regulation of cellular catabolic process",0.0561797752808989,0.0159991670715624,1.47283777216802e-06,0.000252486475228803,0.000199922039450175,"Stk11/Sgta/Cav1/Fzr1/Xbp1/Agtpbp1/Rnf19a/Hsf1/Rb1cc1/Exosc8/Sh3d19/Trib1/Lrrk2/Lsm1/Fbxl5/Nop53/Dact1/Abcd2/Rnf14/Nanos1",20,"red"
"GO:1904062","regulation of cation transmembrane transport",0.0533707865168539,0.0132227389463455,3.40187370037549e-07,8.16449688090116e-05,6.46475367060829e-05,"Phb2/Cav1/Cacnb4/Calm3/Fyn/Hecw1/Glrx/Pde4d/Slmap/Fgf12/Arc/Stk39/Hpca/Kcnip4/Cabp1/Rph3a/Kcna1/Scn3b/Plcb1",19,"red"
"GO:0042391","regulation of membrane potential",0.0533707865168539,0.0162768098840841,7.19959930256906e-06,0.000675945126559222,0.000535222047579641,"Cav1/Cacnb4/Glrx/Slmap/Fgf12/Slc25a27/Bok/Hcn4/Rims4/Lrrk2/Kcnk2/Ckap5/Adora1/Cux2/Kcna1/Scn3b/Kcnd2/Insyn1/Insyn2a",19,"red"
"GO:0042176","regulation of protein catabolic process",0.050561797752809,0.0136392031651281,2.32729503174092e-06,0.000335130484570692,0.000265360629303343,"Sgta/Cav1/Fyn/Fzr1/Xbp1/Hecw1/Agtpbp1/Laptm4b/Rnf19a/Chmp6/Sh3d19/Trib1/Lrrk2/Fbxl5/Nop53/Dact1/Sorl1/Rnf14",18,"red"
