"symbol","reg"
"Il1r1","Up"
"Ezr","Up"
"Atg10","Up"
"Tpx2","Up"
"Pex10","Up"
"Cpped1","Up"
"Ctla2a","Up"
"Wfdc18","Up"
"Trip10","Up"
"Olfml2b","Up"
"Nos3","Up"
"Fstl1","Up"
"C5ar1","Up"
"Plat","Up"
"Fam13c","Up"
"Slc37a3","Up"
"Tbrg1","Up"
"Pdcd6","Up"
"Mt2","Up"
"Cd320","Up"
"Ccdc80","Up"
"Car12","Up"
"Slc15a2","Up"
"Sdc4","Up"
"Slain1","Up"
"Stn1","Up"
"Card19","Up"
"Ocel1","Up"
"Akt2","Up"
"Avpi1","Up"
"Phyhipl","Up"
"Phyhipl","Up"
"Mrpl36","Up"
"S100a9","Up"
"St6gal1","Up"
"Ggta1","Up"
"Mtmr2","Up"
"Olfr1218","Up"
"Chmp1b","Up"
"Arl15","Up"
"Tpm2","Up"
"Smpdl3a","Up"
"Rnf157","Up"
"Vmn2r10","Up"
"Inafm2","Up"
"Ptgs1","Up"
"Slc25a5","Up"
"Pcmtd1","Up"
"Smim12","Up"
"Ngp","Up"
"Pecr","Up"
"Suox","Up"
"F11r","Up"
"Abhd1","Up"
"Nop9","Up"
"Acly","Down"
"Pgap1","Down"
"Morc1","Down"
"Wdsub1","Down"
"Fbxl19","Down"
"Ccser1","Down"
"Nkpd1","Down"
"Zbtb44","Down"
"Zfp202","Down"
"Acaca","Down"
"Foxo4","Down"
"Spats1","Down"
"Tmem91","Down"
"Slc35d1","Down"
"Rad54l2","Down"
"Ssh1","Down"
"Dhdds","Down"
"Thbs3","Down"
"Ano8","Down"
"Coa7","Down"
"Casp2","Down"
"Fbrsl1","Down"
"Dstyk","Down"
"Epha8","Down"
"Spag17","Down"
"Gtf2ird2","Down"
"Castor2","Down"
"Erbb3","Down"
"Mrm3","Down"
"Ephb2","Down"
"Vmn2r104","Down"
"Col12a1","Down"
"Senp1","Down"
"Zfp658","Down"
"Cul9","Down"
"Tarbp1","Down"
"Lrrc75b","Down"
"Carmil3","Down"
"Snapc4","Down"
"Whrn","Down"
"Ifnar2","Down"
"Lman2l","Down"
"Ccdc84","Down"
"Myo1g","Down"
"Med12","Down"
"E130308A19Rik","Down"
"Gchfr","Down"
"Prr36","Down"
"Cfap300","Down"
"Trim68","Down"
"Ldlrad3","Down"
"Olfr1186","Down"
"Dync2i1","Down"
"Golga4","Down"
"Caskin1","Down"
"Ska3","Down"
