"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0050808","synapse organization",0.0757575757575758,0.0171444436732144,1.87389021825956e-06,0.00172960067145357,0.00142678658723623,"Pdzrn3/Itpka/Dlgap3/Erc2/Unc13a/Plxnd1/Numb/Pin1/Adgrb1/Lrfn1/Nptx1/Wasf1/Lrfn2/Nptxr/Xlr3b",15,"Up","DES - MEA"
"GO:0034329","cell junction assembly",0.0656565656565657,0.0153050600402582,1.26648734461767e-05,0.00584483909541055,0.00482153954003569,"Fscn1/Smad3/Nphp4/Plxnd1/Cldn3/Numb/Adgrb1/Lrfn1/Nptx1/Nptxr/Ptk2b/Snai2/Xlr3b",13,"Up","DES - MEA"
"GO:0007409","axonogenesis",0.0656565656565657,0.0171097383216492,4.03056709809744e-05,0.00842534266014644,0.00695025510730371,"Nr4a2/Rtn4rl1/Egr2/Rtn4r/Lhx2/Nr4a3/Plxnd1/Unc5a/Unc5c/Numb/Zic2/Nptx1/Bhlhe22",13,"Up","DES - MEA"
"GO:0042391","regulation of membrane potential",0.0606060606060606,0.0162768098840841,0.000106148055019995,0.00948141820485049,0.00782143563305224,"Kcnmb4/Cnih2/Ptpn3/Cnih3/Gabra4/Gabrd/Kcnk12/Htr3a/Hcrt/Cxadr/Mpp2/Ptk2b",12,"Up","DES - MEA"
"GO:0060537","muscle tissue development",0.0606060606060606,0.0171097383216492,0.00016867754850017,0.0124029288784761,0.0102314556523515,"Fos/Egr2/Eya1/Msc/Fkbp1a/Synb/Smad3/Zfpm2/Pin1/Ski/Cxadr/Tshz3",12,"Up","DES - MEA"
"GO:0034765","regulation of ion transmembrane transport",0.0606060606060606,0.0172832650794753,0.0001850690107599,0.0128114022698541,0.0105684145618153,"Coro1a/Tesc/Fkbp1a/Tspan13/Cnih2/Ptpn3/Cnih3/Mink1/Kcnv1/Htr3a/Kcns1/Ptk2b",12,"Up","DES - MEA"
"GO:0031644","regulation of nervous system process",0.0555555555555556,0.006732838203651,1.12476785277816e-07,0.000311448218434272,0.000256920656897748,"Egr2/Dlgap3/Hgf/Cnih2/Cckbr/Hcrt/Ccn3/Nptx1/Vip/Nptxr/Ptk2b",11,"Up","DES - MEA"
"GO:0022604","regulation of cell morphogenesis",0.0555555555555556,0.0117304088290414,2.42930820477665e-05,0.00672675441902655,0.00554905137301614,"Coro1a/Itpka/Cdc42se2/Palmd/Unc13a/Plxnd1/Cldn3/Numb/Rreb1/Ptk2b/Xlr3b",11,"Up","DES - MEA"
"GO:1990778","protein localization to cell periphery",0.0555555555555556,0.0128409800791282,5.51302132177475e-05,0.00905591170764393,0.00747042573058384,"Tesc/Rilpl1/Ppp1r9b/Tamalin/Pik3r2/Cnih3/Tspan33/Numb/Rilpl2/Nptx1/Nptxr",11,"Up","DES - MEA"
"GO:0048167","regulation of synaptic plasticity",0.0555555555555556,0.0131186228916499,6.67371710512262e-05,0.00905591170764393,0.00747042573058384,"Rgs14/Itpka/Ptgs2/Nsmf/Erc2/Unc13a/Adgrb1/Rin1/Tshz3/Mpp2/Ptk2b",11,"Up","DES - MEA"
"GO:0030900","forebrain development",0.0555555555555556,0.0138127299229541,0.000105296215098891,0.00948141820485049,0.00782143563305224,"Nr4a2/Rtn4rl1/Rtn4r/Lhx2/Nr4a3/Zic5/Mrtfa/Numb/Ski/Bhlhe22/Neurod1",11,"Up","DES - MEA"
