"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0678466076696165,0.0140903727354758,6.93026396121109e-10,2.09571182187023e-06,1.97111297086235e-06,"Rpl3/Rps6/Tfb1m/Rps2/Rpusd2/Rpl11/C1d/Utp23/Rpp40/Rpl7/Snrpd3/Malsu1/Eif2s3x/Wdr3/Efl1/Lsm6/Rps27l/Lsm2/Snrpd1/Ddx56/Rpl13a/Nudt21/Ddx39b",23,"Up","CDOM-DOM"
"GO:0034470","ncRNA processing",0.0530973451327434,0.0136392031651281,1.16411626498595e-06,0.000880071896329375,0.000827747933682112,"Rps6/Tfb1m/2210016F16Rik/Rpusd2/Rpl11/C1d/Utp23/Trmt10a/Rpp40/Rpl7/Wdr3/Mettl1/Rpp25l/Lsm6/Trmt5/Dus2/Ints2/Ddx56",18,"Up","CDOM-DOM"
"GO:0072521","purine-containing compound metabolic process",0.0501474926253687,0.0136044978135629,4.78394384188313e-06,0.0024111076963091,0.00226775723873127,"Nudt7/Acpp/Oard1/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Enpp4/Efl1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",17,"Up","CDOM-DOM"
"GO:0042254","ribosome biogenesis",0.0471976401179941,0.0103769001179982,6.09907679499835e-07,0.000614786940935833,0.000578235280704755,"Rpl3/Rps6/Tfb1m/Rps2/Rpusd2/Rpl11/C1d/Utp23/Rpp40/Rpl7/Malsu1/Wdr3/Efl1/Lsm6/Rps27l/Ddx56",16,"Up","CDOM-DOM"
"GO:0019693","ribose phosphate metabolic process",0.0471976401179941,0.0130492121885195,1.15063883535745e-05,0.00434941479765116,0.00409082385938925,"Nudt7/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Tkt/Efl1/Uck1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",16,"Up","CDOM-DOM"
"GO:0009117","nucleotide metabolic process",0.0471976401179941,0.0155132921496495,9.12363014629162e-05,0.016229327977874,0.0152644264119381,"Nudt7/Acpp/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",16,"Up","CDOM-DOM"
"GO:0006753","nucleoside phosphate metabolic process",0.0471976401179941,0.0157909349621712,0.000111923260899384,0.017515591865336,0.0164742165205158,"Nudt7/Acpp/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",16,"Up","CDOM-DOM"
"GO:0009259","ribonucleotide metabolic process",0.0442477876106195,0.0126327479697369,3.12246065593069e-05,0.00786860085294534,0.00740077955467082,"Nudt7/Dpyd/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Uck1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",15,"Up","CDOM-DOM"
"GO:0008380","RNA splicing",0.0442477876106195,0.0140209620323454,0.000100844567755835,0.0169418873829802,0.0159346211740506,"Lsm5/Dbr1/Prmt1/Rps26/Snrpd3/Lsm6/Yju2/Dcps/Lsm2/Srek1ip1/Rbm15b/Lsm7/Snrpd1/Thoc3/Ddx39b",15,"Up","CDOM-DOM"
"GO:0006397","mRNA processing",0.0442477876106195,0.0163809259387798,0.000529217641280499,0.0495621051140473,0.0466154302485922,"Lsm5/Dbr1/Snrpd3/Lsm6/Yju2/Dcps/Lsm2/Srek1ip1/Rbm15b/Lsm7/Snrpd1/Cstf3/Thoc3/Nudt21/Ddx39b",15,"Up","CDOM-DOM"
"GO:0009150","purine ribonucleotide metabolic process",0.0383480825958702,0.0119733462899979,0.000251328171412055,0.0345461995613661,0.0324922832131757,"Nudt7/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",13,"Up","CDOM-DOM"
"GO:0006163","purine nucleotide metabolic process",0.0383480825958702,0.012806274727563,0.000476191296567305,0.0495621051140473,0.0466154302485922,"Nudt7/Nme2/Nme6/Entpd4b/Acot1/Slc4a4/Efl1/Prkaa1/Guk1/Atp5c1/Adcy5/Suclg1/Atp5o",13,"Up","CDOM-DOM"
"GO:0140694","non-membrane-bounded organelle assembly",0.0383480825958702,0.0132227389463455,0.000641404088409112,0.0554173132385473,0.0521225217107194,"Rps23/Dlgap5/Csrp1/Rpl3/Haus7/Alms1/Rps2/Rpl11/Kif23/Efl1/Prkaa1/Rps27l/Dbnl",13,"Up","CDOM-DOM"
"GO:0034248","regulation of cellular amide metabolic process",0.0383480825958702,0.0157215242590407,0.00297820340899444,0.147640772275396,0.138862909596255,"Mif4gd/Sepsecs/Ormdl1/Mex3d/Rps9/Malsu1/Eif2s3x/Rps27l/Dcps/Eif4e3/Tsfm/Rpl13a/Ddx39b",13,"Up","CDOM-DOM"
"GO:0002181","cytoplasmic translation",0.0353982300884956,0.00350524050808635,2.70587826514685e-09,4.09128793690204e-06,3.84804372232989e-06,"Rps23/Rpl36al/Rps2/Rpl11/Rpl36a/Rps26/Mif4gd/Eif3m/Eif2s3x/Rpl18/Rpl22l1/Rpl13a",12,"Up","CDOM-DOM"
"GO:0016072","rRNA metabolic process",0.0353982300884956,0.00860692718817242,4.2017804828601e-05,0.00977398783089918,0.00919288329124533,"Rps6/Tfb1m/Rpusd2/Rpl11/Macroh2a2/C1d/Utp23/Rpp40/Rpl7/Wdr3/Lsm6/Ddx56",12,"Up","CDOM-DOM"
"GO:0032259","methylation",0.0353982300884956,0.0130492121885195,0.00180041076788084,0.111111064532075,0.104505046075489,"Eomes/Mettl21e/Suv39h2/As3mt/Tfb1m/H1f2/Prmt1/Trmt10a/Snrpd3/Mettl1/Trmt5/Rbm15b",12,"Up","CDOM-DOM"
"GO:0006417","regulation of translation",0.0353982300884956,0.0137086138682585,0.00269644302852891,0.143053398566165,0.134548274479873,"Mif4gd/Sepsecs/Mex3d/Rps9/Malsu1/Eif2s3x/Rps27l/Dcps/Eif4e3/Tsfm/Rpl13a/Ddx39b",12,"Up","CDOM-DOM"
"GO:0022618","ribonucleoprotein complex assembly",0.0324483775811209,0.00562226695356424,3.74351950139764e-06,0.00226408059444529,0.00212947151426872,"Rpl3/Rps2/Rpl11/Snrpd3/Eif2s3x/Rps27l/Lsm2/Snrpd1/Rpl13a/Nudt21/Ddx39b",11,"Up","CDOM-DOM"
"GO:0071826","ribonucleoprotein complex subunit organization",0.0324483775811209,0.00589990976608593,5.95155729611841e-06,0.00257107275192315,0.00241821170137022,"Rpl3/Rps2/Rpl11/Snrpd3/Eif2s3x/Rps27l/Lsm2/Snrpd1/Rpl13a/Nudt21/Ddx39b",11,"Up","CDOM-DOM"
"GO:0006364","rRNA processing",0.0324483775811209,0.00742694523495523,5.07757846059937e-05,0.0102363981765683,0.00962780140388737,"Rps6/Tfb1m/Rpusd2/Rpl11/C1d/Utp23/Rpp40/Rpl7/Wdr3/Lsm6/Ddx56",11,"Up","CDOM-DOM"
"GO:0000375","RNA splicing, via transesterification reactions",0.0324483775811209,0.00975220378982439,0.000540856305808055,0.0495621051140473,0.0466154302485922,"Lsm5/Dbr1/Snrpd3/Lsm6/Yju2/Dcps/Lsm2/Rbm15b/Lsm7/Snrpd1/Ddx39b",11,"Up","CDOM-DOM"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0324483775811209,0.00975220378982439,0.000540856305808055,0.0495621051140473,0.0466154302485922,"Lsm5/Dbr1/Snrpd3/Lsm6/Yju2/Dcps/Lsm2/Rbm15b/Lsm7/Snrpd1/Ddx39b",11,"Up","CDOM-DOM"
"GO:0000398","mRNA splicing, via spliceosome",0.0324483775811209,0.00975220378982439,0.000540856305808055,0.0495621051140473,0.0466154302485922,"Lsm5/Dbr1/Snrpd3/Lsm6/Yju2/Dcps/Lsm2/Rbm15b/Lsm7/Snrpd1/Ddx39b",11,"Up","CDOM-DOM"
"GO:0043414","macromolecule methylation",0.0324483775811209,0.0114180606649545,0.00192479867641231,0.116411823949416,0.109490653129812,"Eomes/Mettl21e/Suv39h2/Tfb1m/H1f2/Prmt1/Trmt10a/Snrpd3/Mettl1/Trmt5/Rbm15b",11,"Up","CDOM-DOM"
"GO:0006399","tRNA metabolic process",0.0265486725663717,0.00586520441452072,0.000186705735314611,0.026885625885304,0.0252871627478736,"2210016F16Rik/Sepsecs/Trmt10a/Rpp40/Mettl1/Rpp25l/Lsm6/Trmt5/Dus2",9,"Up","CDOM-DOM"
"GO:0008033","tRNA processing",0.023598820058997,0.00409523148469494,8.04806059932571e-05,0.0152108345327256,0.0143064866706435,"2210016F16Rik/Trmt10a/Rpp40/Mettl1/Rpp25l/Lsm6/Trmt5/Dus2",8,"Up","CDOM-DOM"
"GO:0009451","RNA modification",0.023598820058997,0.00499757062539044,0.000318112544537866,0.0396994989969711,0.0373391973996853,"Tfb1m/2210016F16Rik/Rpusd2/Trmt10a/Mettl1/Trmt5/Dus2/Rbm15b",8,"Up","CDOM-DOM"
"GO:0071248","cellular response to metal ion",0.023598820058997,0.00586520441452072,0.000916537095007835,0.072937057244834,0.0686006435100047,"Aqp1/Sox2/Cpne2/Spag16/Mtf1/Slc12a2/Prkaa1/Trpm2",8,"Up","CDOM-DOM"
